City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Saint George,US,37.1041,-113.5841,66.79,24,0,4.61,clear sky
105,Mataura,NZ,-46.1927,168.8643,45.95,63,85,10.56,overcast clouds
106,Ankpa,NG,7.3706,7.6253,74.53,89,50,3.22,scattered clouds
107,Ugoofaaru,MV,5.6667,73.0,81.77,77,100,17.72,overcast clouds
108,Sumbe,AO,-11.2061,13.8437,75.47,85,97,5.55,light rain
109,Georgetown,MY,5.4112,100.3354,91.33,61,20,7.0,few clouds
110,Houston,US,29.7633,-95.3633,56.08,58,0,5.75,clear sky
111,Lavumisa,SZ,-27.31,31.892,80.56,55,24,7.45,few clouds
112,Gat,IL,31.61,34.7642,75.88,100,5,2.59,clear sky
113,Asau,RO,46.4333,26.4,42.28,73,80,4.32,broken clouds
114,Cabo San Lucas,MX,22.8909,-109.9124,75.61,83,40,10.16,scattered clouds
115,Hastings,GB,50.8552,0.5729,62.35,99,100,16.04,light rain
116,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,72.34,99,100,1.83,light rain
117,Kitimat,CA,54.0524,-128.6534,52.92,23,100,1.01,overcast clouds
118,Qaanaaq,GL,77.484,-69.3632,-0.33,63,1,13.02,clear sky
119,Avarua,CK,-21.2078,-159.775,73.45,88,75,9.22,broken clouds
120,Ilulissat,GL,69.2167,-51.1,21.22,86,75,6.91,broken clouds
121,Lahat,ID,-3.8,103.5333,80.85,84,100,1.45,overcast clouds
122,Nikolskoye,RU,59.7035,30.7861,39.09,91,96,5.73,overcast clouds
123,Hofn,IS,64.2539,-15.2082,41.63,73,16,7.85,few clouds
124,Bluff,NZ,-46.6,168.3333,47.12,56,38,23.15,scattered clouds
125,Barrow,US,71.2906,-156.7887,28.42,93,100,14.97,overcast clouds
126,General Roca,AR,-39.0333,-67.5833,63.63,22,73,26.53,broken clouds
127,Veraval,IN,20.9,70.3667,86.72,44,5,4.23,clear sky
128,Russell,US,32.3502,-85.1999,42.01,93,0,0.0,clear sky
129,Callaway,US,30.153,-85.5699,50.92,64,0,4.61,clear sky
